,Unnamed: 0,Kilometrage,Annee,Energie,BoiteVitesse,PuissanceFiscale,Carrosserie,Prix,Couleur,Marque,Modele
398,398,70000,8.202,Essence,Manuelle,8,Compacte,123000,Blanc,GOLF,8
399,399,125000,7.2017,Essence,Automatique,10,Berline,108000,Noir,AUDI,A6
400,400,65000,5.2021,Essence,Automatique,9,Citadine,168000,Noir,BMW,SERIE 3
401,401,35000,4.2016,Diesel,Manuelle,10,Autres,64000,Blanc,,
402,402,136000,10.2018,Diesel,Manuelle,4,Citadine,45500,Blanc,PEUGEOT,208
403,403,132000,8.2018,Essence,Manuelle,7,SUV/4x4,38000,Blanc,BAIC,KENBO S3
404,404,69000,12.2018,Diesel,Manuelle,6,Utilitaire,35000,Gris argent,DACIA,DOKKER
405,405,53000,12.2018,Essence,Manuelle,6,SUV/4x4,67000,Noir,SUZUKI,VITARA
406,406,135000,12.2017,Essence,Manuelle,6,Citadine,81000,Blanc,GOLF,7
407,407,100000,12.2017,Essence,Automatique,8,SUV/4x4,95000,Gris Shark,AUDI,Q3
408,408,60000,9.202,Essence,Automatique,7,SUV/4x4,72000,Noir,MG,ZS
409,409,70000,8.2019,Essence,Automatique,5,SUV/4x4,45000,Gris argent,KIA,PICANTO
410,410,160000,3.2014,Essence,Automatique,9,SUV/4x4,55000,Rouge,MAZDA,5
